Species,Country.of.Origin,Region,Farm.Name,Owner,Company,Certification.Body,unit_of_measurement,Altitude,altitude_high_meters,altitude_low_meters,altitude_mean_meters,Number.of.Bags,Bag.Weight,Harvest.Year,Grading.Date,Expiration,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Color
Arabica,Ethiopia,guji-hambela,metad plc,metad plc,metad agricultural developmet plc,METAD Agricultural Development plc,m,1950-2200,2200,1950,2075,300,60 kg,2014,"April 4th, 2015","April 3rd, 2016",NA,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,0,0,0,Green
Arabica,Ethiopia,guji-hambela,metad plc,metad plc,metad agricultural developmet plc,METAD Agricultural Development plc,m,1950-2200,2200,1950,2075,300,60 kg,2014,"April 4th, 2015","April 3rd, 2016",Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,0,1,0,Green
Arabica,Guatemala,NA,"san marcos barrancas ""san cristobal cuch",grounds for health admin,NA,Specialty Coffee Association,m,1600 - 1800 m,1800,1600,1700,5,1,NA,"May 31st, 2010","May 31st, 2011",Bourbon,NA,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0,0,0,0,NA
Arabica,Ethiopia,oromia,yidnekachew dabessa coffee plantation,yidnekachew dabessa,yidnekachew debessa coffee plantation,METAD Agricultural Development plc,m,1800-2200,2200,1800,2000,320,60 kg,2014,"March 26th, 2015","March 25th, 2016",NA,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,0,2,0,Green
Arabica,Ethiopia,guji-hambela,metad plc,metad plc,metad agricultural developmet plc,METAD Agricultural Development plc,m,1950-2200,2200,1950,2075,300,60 kg,2014,"April 4th, 2015","April 3rd, 2016",Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,0,2,0,Green
Arabica,Brazil,NA,NA,ji-ae ahn,NA,Specialty Coffee Institute of Asia,m,NA,NA,NA,NA,100,30 kg,2013,"September 3rd, 2013","September 3rd, 2014",NA,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11,0,1,0,Bluish-Green
Arabica,Peru,NA,NA,hugo valdivia,richmond investment-coffee department,Specialty Coffee Institute of Asia,m,NA,NA,NA,NA,100,69 kg,2012,"September 17th, 2012","September 17th, 2013",Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11,0,0,0,Bluish-Green
Arabica,Ethiopia,oromia,aolme,ethiopia commodity exchange,NA,Ethiopia Commodity Exchange,m,1570-1700,1700,1570,1635,300,60 kg,March 2010,"September 2nd, 2010","September 2nd, 2011",NA,NA,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03,0,0,0,NA
Arabica,Ethiopia,oromiya,aolme,ethiopia commodity exchange,NA,Ethiopia Commodity Exchange,m,1570-1700,1700,1570,1635,300,60 kg,March 2010,"September 2nd, 2010","September 2nd, 2011",NA,NA,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03,0,0,0,NA
Arabica,Ethiopia,"snnp/kaffa zone,gimbowereda",tulla coffee farm,diamond enterprise plc,diamond enterprise plc,METAD Agricultural Development plc,m,1795-1850,1850,1795,1822.5,50,60 kg,2014,"March 30th, 2015","March 29th, 2016",Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,0,4,0,Green
Arabica,Ethiopia,oromia,fahem coffee plantation,mohammed lalo,fahem coffee plantation,METAD Agricultural Development plc,m,1855-1955,1955,1855,1905,300,60 kg,2014,"March 27th, 2015","March 26th, 2016",NA,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,0,1,0,NA
Arabica,United States,antioquia,el filo,cqi q coffee sample representative,coffee quality institute,Almacafé,m,meters above sea level: 1.872,1872,1872,1872,10,1 kg,2014,"March 13th, 2015","March 12th, 2016",Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0,0,0,0,NA
